mark,model,description,model_id
NISSAN,Qashqai,1.3 Mild Hybrid 140ch Business Edition,2486
HONDA,Cr-V,2.0 i-MMD 184ch Origin Edition 4WD AT,2487
AUDI,A3 Berline,35 TFSI 150ch Design luxe S tronic 7 Euro6d-T,2488
KIA,E-Niro,Design 204ch,2489
DS,Ds 3 Crossback,E-Tense Rivoli,2490
DACIA,Duster,1.0 ECO-G 100ch Prestige + 4x2,2491
FORD,Fiesta,1.0 EcoBoost 125ch mHEV Titanium Business 5p,2492
CITROEN,C4,C4 Moteur électrique 136 ch (100 kW) Automatique Shine Pack,2493
VOLKSWAGEN,Id.5,77 kWh - 204ch Pro Performance,2494
MINI,Clubman,Cooper 136ch Knightsbridge,2495
MINI,Mini,Cooper 136ch Shoreditch,2496
MINI,Mini,Cooper 136ch,2497
PEUGEOT,3008,1.2 PureTech 130ch Allure Business S&S,2498
BMW,X2,xDrive25eA 220ch M Sport Euro6d-T 6cv,2499
RENAULT,Twingo,1.0 SCe 65ch Zen - 21MY,2500
NISSAN,Townstar,L1 EV 45 kWh Tekna chargeur 22 kW,2501
CITROEN,C3,PureTech 82ch Graphic S&S E6.d-TEMP,2502
NISSAN,Juke,1.0 DIG-T 114ch N-Design DCT 2021.5,2503
BMW,X3,sDrive18dA 150ch M Sport,2504
BMW,Serie 3,330dA xDrive 265ch M Sport,2505
BMW,X4,xDrive30d 286ch M Sport,2506
HYUNDAI,Tucson,1.6 CRDI 115ch Creative Euro6d-Evap,2507
VOLKSWAGEN,Polo,1.6 TDI 95ch Lounge Business DSG7 Euro6d-T,2508
SUZUKI,Swift,1.2 Dualjet Hybrid 83ch Avantage,2509
RENAULT,Megane,1.5 Blue dCi 95ch Business,2510
KIA,Stonic,1.0 T-GDi 100ch ISG Premium Euro6d-T,2511
RENAULT,Clio,1.0 TCe 90ch AUTO ECOLE,2512
HYUNDAI,Ioniq,77 kWh - 229ch Creative,2513
MERCEDES,Amg Gt,4.0 V8 510ch GT S,2514
PEUGEOT,3008,1.2 PureTech 130ch S&S Active Business,2515
CITROEN,Berlingo Van,M 650kg BlueHDi 130 S&S Driver,2516
MERCEDES,Cla,200 d 150ch AMG Line 8G-DCT 8cv,2517
TOYOTA,Proace City,Medium 100 D-4D Business RC21,2518
MINI,Mini,Cooper 136ch Edition Greenwich BVA7 109g,2519
MERCEDES,Glc,220 d 170ch Executive 4Matic 9G-Tronic,2520
DACIA,Jogger,1.6 hybrid 140ch Extreme 7 places,2521
RENAULT,Grand Scenic,1.3 TCe 140ch Intens EDC - 21,2522
JAGUAR,E-Pace,2.0D 150ch AWD BVA9,2523
OPEL,Corsa,1.4 Turbo 100ch Edition Start/Stop 3p,2524
RENAULT,Clio,1.6 E-Tech 140ch Initiale Paris,2525
VOLVO,Xc60,B4 AdBlue 197ch Plus Style Dark Geartronic,2526
DACIA,Lodgy,1.5 Blue dCi 115ch 15 ans 7 places E6D-Full,2527
DACIA,Duster,1.5 Blue dCi 115ch Confort 4x4,2528
TOYOTA,Prius,122h Dynamic,2529
BMW,I3,170ch 94Ah (REx) iLife Lodge,2530
DS,Ds 7 Crossback,BlueHDi 180ch Performance Line + Automatique,2531
FIAT,Panda,1.2 8v 69ch Lounge Business,2532
AUDI,Q5,2.0 TDI 190ch clean diesel S line competition plus quattro S tronic 7,2533
DACIA,Sandero,1.5 Blue dCi 95ch Stepway - 20,2534
NISSAN,Qashqai,1.3 Mild Hybrid 140ch Tekna,2535
VOLKSWAGEN,Tiguan,2.0 TDI 150ch Carat DSG7 Euro6d-T,2536
PEUGEOT,508,PureTech 225ch S&S GT EAT8,2537
MINI,Countryman,Cooper D 150ch Yours BVA8,2538
DS,Ds 3,PureTech 130ch Performance Line + Automatique,2539
NISSAN,Juke,1.2 DIG-T 115ch Acenta Pack Design,2540
BMW,M4 Coupe,3.0 510ch Competition,2541
NISSAN,Micra,1.0 IG-T 100ch Made in France 2019 Euro6-EVAP,2542
DACIA,Jogger,1.0 TCe 110ch Extreme+ 7 places,2543
MERCEDES,Classe B,200d 150ch Progressive Line 8G-DCT,2544
RENAULT,Trafic,L2H1 3T 2.0 Blue dCi 150ch Confort,2545
PEUGEOT,2008,1.6 BlueHDi 120ch Crossway S&S,2546
DACIA,Sandero,1.5 dCi 75ch Lauréate,2547
MERCEDES,Glc,350 d 204ch Fascination 4Matic 9G-Tronic Euro6c,2548
CITROEN,C4,BlueHDi 130ch S&S Shine EAT8,2549
VOLKSWAGEN,Polo,1.0 MPI 80ch Polo,2550
NISSAN,Juke,1.0 DIG-T 117ch Acenta,2551
PEUGEOT,2008,1.2 PureTech 110ch GT Line S&S,2552
CITROEN,Berlingo Van,M 650kg BlueHDi 130 S&S Club,2553
MERCEDES,Classe E Coupe,400 d 330ch AMG Line 4Matic 9G-Tronic,2554
PEUGEOT,208,1.2 PureTech 110ch Allure S&S EAT6 5cv 5p,2555
OPEL,Mokka,1.2 Turbo 136ch Elegance Business,2556
CITROEN,C4,BlueHDi 110ch S&S Live Pack Business,2557
DS,Ds 7 Crossback,BlueHDi 180ch So Chic Automatique,2558
OPEL,Corsa,1.3 CDTI 75ch Edition 3p,2559
MITSUBISHI,Space Star,1.0 MIVEC 71ch In 2018,2560
OPEL,Mokka,1.2 Turbo 130ch Edition,2561
VOLKSWAGEN,Passat Sw,1.4 TSI 218ch Hybride Rechargeable GTE DSG6 8cv,2562
AUDI,A3 Sportback,35 TFSI 150ch CoD Design luxe S tronic 7 Euro6d-T,2563
SEAT,Ateca,1.5 TSI 150ch Start&Stop Xperience DSG,2564
RENAULT,Twingo,E-Tech Electric Authentic R80 Achat Intégral,2565
MINI,Mini,One D 95ch Pack Salt,2566
NISSAN,Juke,1.6 Hybrid 143ch Première Edition 2022.5,2567
FIAT,500,e 118ch Passion,2568
DS,Ds 3 Crossback,PureTech 100ch So Chic 105g,2569
VOLKSWAGEN,Id.7,286ch Pro 77kWh Style Executive,2570
CITROEN,C4 Cactus,PureTech 110ch S&S Shine E6.d-TEMP,2571
TOYOTA,Rav4,197 Hybride Lounge 2WD CVT BOITE AUTO,2572
RENAULT,Scenic,1.7 Blue dCi 150ch Initiale Paris,2573
FORD,Focus,1.0 EcoBoost 125ch mHEV Titanium X,2574
PORSCHE,Macan,2.9 V6 380ch GTS PDK MY21,2575
MERCEDES,Vito,114 CDI Compact Pro Propulsion 9G-Tronic 2 places,2576
VOLKSWAGEN,T-Cross,1.0 TSI 110ch United DSG7,2577
VOLVO,Xc40,T3 163ch Business Geartronic 8,2578
FIAT,500x,1.0 FireFly Turbo T3 120ch Sport,2579
CITROEN,C3,BlueHDi 100ch Shine Business S&S E6.d-TEMP BVM5,2580
FORD,Fiesta,1.0 EcoBoost 95ch ST-Line X 5p,2581
CITROEN,C5 Aircross,PureTech 130ch S&S Shine EAT8 E6.d,2582
RENAULT,Megane,E-Tech Electric EV60 220ch Equilibre optimum charge,2583
OPEL,Combo Life,L1H1 1.5 D 100ch Edition BVM6,2584
HYUNDAI,Tucson,1.6 T-GDi 230ch Hybrid Executive BVA6,2585
MERCEDES,Classe A Berline,250 e 163+109ch AMG Line 8G-DCT,2586
VOLKSWAGEN,Tiguan,2.0 TSI 190ch 4Motion DSG7 Euro6d-T,2587
NISSAN,Qashqai,1.5 dCi 115ch Tekna+ DCT 2019 Euro6-EVAP,2588
TOYOTA,Yaris Cross,116h Trail AWD-i + marchepieds MY22,2589
SMART,#1,428ch 66kWh Brabus 4x4,2590
PEUGEOT,Expert,M 2.0 BlueHDi 145ch Pack Premium Connect,2591
RENAULT,Kadjar,1.5 Blue dCi 115ch Intens,2592
VOLKSWAGEN,Up!,1.0 65ch BlueMotion Technology Beats Audio 5p,2593
FIAT,500,e 118ch La Prima,2594
MERCEDES,Classe C,220 d 194ch AMG Line 9G-Tronic,2595
DACIA,Duster,1.5 Blue dCi 115ch Prestige 118g 4x4 - 19,2596
RENAULT,Captur,1.6 E-Tech hybride 145ch RS Line -21B,2597
HYUNDAI,Ioniq,Plug-in 141ch Executive 5cv,2598
PEUGEOT,108,VTi 72 Style S&S 85g 5p,2599
LAND-ROVER,Range Rover Evoque,2.0 TD4 180 SE BVA Mark IV,2600
PEUGEOT,3008,1.2 PureTech 130ch Allure Business S&S EAT6,2601
JAGUAR,F-Type Coupe,5.0 V8 Suralimenté 575ch R75 AWD BVA8,2602
VOLKSWAGEN,Tiguan,2.0 TDI 150ch Confortline DSG7 Euro6d-T,2603
PEUGEOT,2008,1.2 PureTech 110ch E6.c Style S&S EAT6,2604
RENAULT,Twingo,0.9 TCe 90ch energy Intens,2605
NISSAN,X-Trail,1.6 dCi 130ch N-Connecta Euro6,2606
VOLKSWAGEN,Scirocco,2.0 TSI 180ch BlueMotion Technology R-Line DSG6,2607
BMW,Serie 2 Active Tourer,220dA 190ch M Sport,2608
MINI,Mini,One 75ch,2609
BMW,X1,sDrive18dA 150ch Business Design,2610
MERCEDES,Gla,200 d Sensation 7G-DCT,2611
PEUGEOT,3008,1.2 Puretech Allure S&S,2612
RENAULT,Arkana,1.3 TCe mild hybrid 140ch Techno EDC -22,2613
FORD,Focus Sw,2.0 EcoBlue 150ch ST-Line X,2614
DS,Ds 3 Crossback,PureTech 130ch So Chic Automatique,2615
PEUGEOT,5008,1.5 BlueHDi 130ch E6.c GT Line S&S 7cv,2616
PEUGEOT,308,1.2 PureTech 130ch S&S Allure Pack,2617
SUZUKI,Swift,1.2 Dualjet Hybrid 90ch Pack Euro6d-T,2618
HYUNDAI,Tucson,2.0 CRDI 136ch Creative 2WD,2619
DACIA,Sandero,1.0 TCe 90ch Expression CVT,2620
RENAULT,Kadjar,1.3 TCe 140ch FAP Intens EDC - 21,2621
RENAULT,Twingo,E-Tech Electric Urban Night R80 Achat Intégral - 21MY,2622
VOLVO,Xc60,B4 197ch Ultimate Style Dark Geartronic,2623
RENAULT,Captur,1.5 dCi 90ch Stop&Start energy Intens eco² Euro6 2016,2624
RENAULT,Zoe,E-Tech Limited charge normale R110 Achat Intégral,2625
CITROEN,Grand C4 Spacetourer,BlueHDi 130ch S&S Feel E6.d,2626
VOLKSWAGEN,Up!,1.0 65ch BlueMotion Technology Active 5p,2627
VOLKSWAGEN,Passat,1.6 TDI 120ch BlueMotion Technology Confortline,2628
DS,Ds 7 Crossback,BlueHDi 180ch Performance Line Automatique 128g,2629
JEEP,Renegade,2.0 MultiJet 140ch Limited Active Drive,2630
VOLKSWAGEN,Polo,1.0 TSI 110ch R-Line Euro6d-T,2631
RENAULT,Zoe,Life charge rapide,2632
CITROEN,C4 Cactus,PureTech 110ch S&S Shine E6.d,2633
BMW,X3 M,3.0 510ch Compétition BVA8,2634
TOYOTA,Yaris,70 VVT-i Active 5p MY19,2635
KIA,Niro,1.6 GDi 105ch ISG + Plug-In 60.5ch Premium DCT6,2636
SEAT,Ateca,1.5 TSI 150ch ACT Start&Stop Xcellence DSG Euro6d-T,2637
HYUNDAI,I20,1.4 100 Intuitive,2638
DACIA,Duster,1.3 TCe 130 Journey 4x2 Carplay Kms Gtie 03/2026,2639
PEUGEOT,208,1.2 PureTech 100ch S&S Active Business 118g,2640
DS,Ds 3 Crossback,BlueHDi 130ch Performance Line Automatique 126g,2641
PEUGEOT,Partner Tepee,1.6 BlueHDi 100ch Style,2642
KIA,Stonic,1.0 T-GDI 120ch ISG Launch Edition,2643
RENAULT,Megane Estate,1.5 dCi 110ch energy Intens EDC,2644
TOYOTA,Proace,Medium 1.5 D-4D 120 Business MY20,2645
RENAULT,Captur,1.3 TCe 130ch FAP Sunset,2646
RENAULT,Captur,1.0 TCe 90ch Intens - 21,2647
VOLKSWAGEN,Id.3,204ch Pro Performance 58 kWh First,2648
CITROEN,Ami,Ami Ami,2649
FIAT,Ducato,3.0 MH2 2.3 Multijet 120ch Pack,2650
PEUGEOT,3008,2.0 BlueHDi 180ch S&S GT EAT8,2651
LAND-ROVER,Range Rover Evoque,2.0 TD4 150 SE Dynamic BVA Mark V,2652
TOYOTA,Yaris,116h Première 5p,2653
MINI,Mini,Cooper SE 184ch Electric BVA,2654
RENAULT,Megane,1.3 TCe 140ch FAP GT-Line EDC,2655
DS,Ds 3,E-Tense 156ch Performance Line,2656
RENAULT,Zoe,Intens charge normale R110 4cv,2657
MINI,Mini,Cooper S 211ch John Cooper Works Edition BVAS,2658
FIAT,500,1.0 70ch BSG S&S Rockstar,2659
RENAULT,Zoe,Life R110 - Achat Intégral - 2020,2660
SKODA,Octavia,2.0 TDI 150ch SCR Edition DSG7 Euro6d-T EVAP,2661
CITROEN,C3 Aircross,PureTech 110ch S&S Shine EAT6 E6.d-TEMP 114g,2662
TOYOTA,Aygo X,1.0 VVT-i 72ch Design MY23,2663
MINI,Mini,Cooper D 116ch Pack Chili,2664
DACIA,Sandero,1.5 Blue dCi 95ch Stepway,2665
PEUGEOT,3008,2.0 BlueHDi 180ch GT S&S EAT6,2666
PORSCHE,911 Cabriolet,Carrera GTS Cabriolet PDK,2667
FORD,Fiesta,1.0 Flexifuel 95ch Titanium Business 5p,2668
OPEL,Grandland X,1.5 D 130ch Edition Business BVA8 7cv,2669
BMW,Serie 4 Gran Coupe,430d 258ch Luxury,2670
DS,Ds 9,Hybrid E-Tense 225ch Rivoli+,2671
MINI,Clubman,One D 116ch Business Design BVA7,2672
DACIA,Duster,1.5 dCi 110ch Black Touch 2017 4X2,2673
NISSAN,Qashqai,1.3 Mild Hybrid 158ch Tekna Xtronic + Pack Design + Roue de secours,2674
PORSCHE,Panamera,3.0 V6 462ch 4 E-Hybrid Euro6d-T 19cv,2675
CITROEN,C4 Spacetourer,PureTech 130ch S&S Rip Curl,2676
PEUGEOT,308 Sw,1.5 BlueHDi 130ch S&S Allure Business EAT8,2677
TOYOTA,C-Hr,184h Distinctive 2WD E-CVT MY22,2678
VOLVO,Xc60,D4 AWD 190 R-Design,2679
FIAT,500,e 118ch Icône Plus (Pack Magic Eye),2680
BMW,Serie 4 Cabriolet,M440iA xDrive 374ch,2681
VOLKSWAGEN,T-Roc,1.5 TSI Evo2 150ch R-Line DSG7,2682
TOYOTA,C-Hr,122h Distinctive 2WD E-CVT RC18,2683
DACIA,Sandero,0.9 TCe 90ch Stepway Euro6c,2684
RENAULT,Twingo,1.0 SCe 70ch Life Euro6c,2685
NISSAN,Leaf,150ch 40kWh N-Connecta 21.5,2686
MERCEDES,Classe E,300 de 194+122ch AMG Line 9G-Tronic Euro6d-T-EVAP-ISC,2687
CITROEN,C4 Spacetourer,PureTech 130ch S&S Business + EAT8 E6.d-TEMP,2688
OPEL,Astra,1.6 Turbo 225ch Hybrid GSe BVA8 MY23,2689
PEUGEOT,2008,1.2 PureTech 110ch Crossway S&S,2690
VOLKSWAGEN,Polo,1.0 TSI 95ch Life Business,2691
CITROEN,C3,1.5 BlueHDi 100ch S&S Feel Nav,2692
PEUGEOT,208,e-208 136ch Active Pack,2693
RENAULT,Kangoo Van,1.3 TCe 130ch Extra BVA - 22,2694
BMW,X1,sDrive18iA 140ch M Sport DKG7,2695
CITROEN,C3,1.4 HDi70 FAP Airplay,2696
BMW,I4,eDrive40 340ch M Sport,2697
FIAT,500c,1.2 8v 69ch S&S Rockstar Dualogic,2698
RENAULT,Twingo,E-Tech Electric Zen R80 Achat Intégral - 21,2699
MG,Mg4,EV 435ch - 64kWh Xpower 4WD MY23,2700
MASERATI,Grecale,2.0 L4 330ch Modena,2701
BMW,I3,170ch 120Ah Edition 360,2702
FORD,Kuga,2.0 EcoBlue 150ch mHEV Titanium,2703
MERCEDES,Classe A,250 e 160+102ch Business Line 8G-DCT 8cv,2704
PEUGEOT,308,1.2 PureTech 130ch €6.c S&S GT Line,2705
CITROEN,C5 X,PureTech 180ch S&S Shine EAT8,2706
CITROEN,Nemo,1.3 HDi 80 Business,2707
BMW,Serie 1,116dA 116ch Edition Sport DKG7,2708
CITROEN,C5 Aircross,Hybrid rechargeable 180ch Shine ë-EAT8,2709
NISSAN,Juke,1.6 Hybrid 143ch N-Design 2023.5,2710
FORD,Kuga,2.5 Duratec 190ch FHEV ST-Line BVA i-AWD,2711
KIA,Ev6,325ch Air Active 4WD,2712
PEUGEOT,208,1.2 PureTech 82ch Active 5p,2713
BMW,Ix,xDrive40 326ch Edition Sport,2714
CITROEN,C5 Aircross,PureTech 130ch S&S Feel,2715
VOLKSWAGEN,Tiguan,2.0 TSI 190ch Carat 4Motion DSG7 Euro6d-T,2716
PEUGEOT,208,1.2 PureTech 130ch S&S GT Pack EAT8,2717
AUDI,A5 Sportback,40 TDI 204ch S Edition S tronic 7,2718
OPEL,Movano,3.0T L1H1 2.2d 120ch Pack Clim,2719
DACIA,Jogger,1.0 ECO-G 100ch Extreme 7 places,2720
MERCEDES,Classe A,180 d 116ch Progressive Line 8G-DCT,2721
MERCEDES,Classe G,500 422ch AMG Line 9G-Tronic 31cv,2722
CITROEN,C3,PureTech 82ch Feel Business S&S E6.d,2723
DS,Ds 7 Crossback,BlueHDi 130ch Executive Automatique 7cv,2724
RENAULT,Austral,1.2 E-Tech full hybrid 200ch Techno,2725
RENAULT,Zoe,Business charge normale R110 Achat Intégral,2726
MASERATI,Grecale,GT Hybrid Q4 300ch,2727
RENAULT,Kadjar,1.3 TCe 140ch FAP Limited - 21,2728
NISSAN,X-Trail,1.6 dCi 130ch N-Connecta All-Mode 4x4-i Euro6,2729
TOYOTA,C-Hr,122h Graphic 2WD E-CVT,2730
BMW,Serie 4 Gran Coupe,420d 190ch Luxury,2731
VOLKSWAGEN,Multivan,1.4 eHybrid 218ch Style Court DSG6,2732
OPEL,Mokka,Mokka-e 136ch Ultimate,2733
PEUGEOT,Expert,Standard 2.0 BlueHDi 120ch S&S Premium EAT8,2734
VOLKSWAGEN,Golf,2.0 TDI SCR 115ch Life 1st,2735
DACIA,Sandero,1.5 dCi 90ch eco² Stepway Prestige,2736
BMW,Serie 2 Active Tourer,225xeA 220ch M Sport 6cv,2737
RENAULT,Captur,1.6 E-Tech hybride 145ch RS Line -21,2738
OPEL,Grandland,1.6 Turbo 225ch Hybride,2739
NISSAN,Juke,1.0 DIG-T 114ch Tekna DCT 2021.5,2740
MERCEDES,Vito,114 CDI Mixto Long Select Propulsion,2741
PEUGEOT,308 Sw,1.2 PureTech 130ch €6.c S&S Allure Business,2742
BMW,Serie 2 Active Tourer,218d 150ch Luxury DKG7,2743
MERCEDES,Classe C Break,200 d 163ch AMG Line,2744
CITROEN,C4 Cactus,BlueHDi 100ch S&S Feel E6.d-TEMP,2745
CITROEN,C3 Aircross,PureTech 110ch S&S Feel EAT6 E6.d-TEMP 114g,2746
DS,Ds 9,Hybrid E-Tense 4x4 360ch Rivoli+,2747
VOLKSWAGEN,T-Roc,2.0 TDI 115ch Active S&S,2748
PEUGEOT,2008,1.5 BlueHDi 130ch S&S GT Pack EAT8 125g,2749
PEUGEOT,3008,1.2 PureTech 130ch S&S Active Pack,2750
DACIA,Duster,1.0 ECO-G 100ch Essentiel 4x2 - 19,2751
OPEL,Corsa,1.5 D 100ch Edition,2752
CITROEN,C3,PureTech 82 Feel Edition,2753
FORD,Fiesta,1.5 EcoBoost 200ch ST 5p,2754
LAND-ROVER,Range Rover Evoque,2.0 D 150ch R-Dynamic S,2755
DACIA,Duster,1.5 Blue dCi 115ch Prestige 4x4,2756
MERCEDES,Classe C Cabriolet,220 d 194ch AMG Line 9G-Tronic 10cv,2757
MERCEDES,Cla Shooting Brake,220 d Starlight Edition 7G-DCT Euro6c,2758
OPEL,Astra Sports Tourer,1.5 D 122ch Elegance BVA 112g,2759
RENAULT,Clio,1.0 SCe 65ch Business -21,2760
JAGUAR,I-Pace,EV400 HSE AWD 13cv,2761
PEUGEOT,308 Sw,1.2 PureTech 130ch S&S Allure EAT8,2762
BMW,Serie 5 Touring,530e 292ch M Sport,2763
TOYOTA,Yaris,70 VVT-i France Connect 5p RC19,2764
CITROEN,C4 Spacetourer,BlueHDi 130ch S&S Feel E6.d-TEMP,2765
MERCEDES,Classe S,63 E Performance AMG S 802ch AMG Edition 1 Limousine 4Matic+ Speedshift MCT 9G,2766
DS,Ds 9,Hybrid E-Tense 250ch Performance Line+,2767
LEXUS,Ux,250h 2WD F SPORT Executive MY20,2768
RENAULT,Megane,1.3 TCe 115ch FAP Business,2769
CITROEN,Berlingo,M BlueHDi 100ch S&S Shine,2770
RENAULT,Trafic,L1H1 1000 1.6 dCi 120ch Grand Confort Euro6,2771
BMW,X2,xDrive20dA 190ch M Sport Euro6d-T,2772
PEUGEOT,308 Sw,2.0 BlueHDi 150ch S&S GT Line EAT6,2773
LEXUS,Is,300h Pack Business MY20,2774
FORD,Puma,1.0 EcoBoost 125ch mHEV ST-Line,2775
AUDI,A1 Sportback,35 TFSI 150ch Design S tronic 7,2776
TOYOTA,Yaris,100h Collection 5p,2777
PEUGEOT,2008,1.2 PureTech 155ch S&S GT Pack EAT8,2778
PEUGEOT,2008,e-2008 156ch Active,2779
VOLKSWAGEN,Polo,1.0 TSI 95ch Life Plus,2780
RENAULT,Scenic,1.6 dCi 130ch energy Bose Euro6 2015,2781
MASERATI,Levante,3.0 V6 275ch Diesel GranSport,2782
VOLVO,Ex30,Single Extended Range 272ch Ultra,2783
PEUGEOT,108,VTi 72 Like S&S 4cv 5p,2784
OPEL,Grandland X,1.5 D 130ch Edition Business,2785
RENAULT,Grand Scenic,1.7 Blue dCi 120ch Limited,2786
SKODA,Superb,1.4 TSI PHEV 218ch Style DSG6,2787
CITROEN,C3 Aircross,BlueHDi 100ch S&S Origins E6.d-TEMP,2788
CITROEN,C4,1.5 BlueHDi 130ch S&S MAX Automatique,2789
MERCEDES,Classe B,200d 150ch Progressive Line Edition 8G-DCT 8cv,2790
PEUGEOT,3008,1.5 BlueHDi 130ch E6.c Active Business S&S 6cv,2791
FIAT,Panda,1.2 8v 69ch Easy,2792
VOLKSWAGEN,Tiguan,2.0 TDI 150ch Life Business DSG7,2793
FORD,Transit Custom,300 L1H1 2.0 EcoBlue 136ch Limited,2794
LAND-ROVER,Range Rover Sport,4.4 P530 530ch First Edition,2795
SEAT,Arona,1.0 EcoTSI 95ch Start/Stop Xcellence Euro6d-T,2796
RENAULT,Clio,1.0 TCe 90ch Evolution X-Tronic,2797
BMW,Serie 4 Gran Coupe,420d xDrive 190ch Techno Design,2798
BMW,X3,M40iA 354ch Euro6d-T,2799
DS,Ds 9,Hybrid E-Tense 225ch Performance Line+,2800
DS,Ds 7 Crossback,PureTech 180ch Performance Line + Automatique,2801
NISSAN,Qashqai,1.3 DIG-T 160ch Tekna+ DCT 2019 Euro6-EVAP,2802
PEUGEOT,Boxer,L4H2 3.5 Maxi 165ch BlueHDi S&S,2803
DS,Ds 7 Crossback,PureTech 180ch Grand Chic Automatique 9cv 119g,2804
OPEL,Grandland X,1.2 Turbo 130ch Ultimate BVA,2805
VOLKSWAGEN,T-Cross,1.0 TSI 110ch R-Line,2806
NISSAN,Micra,1.0 IG-T 100ch N-Sport Euro6-EVAP,2807
MINI,Mini,Cooper 136ch Pack Chili BVA,2808
FORD,Ecosport,1.0 EcoBoost 100ch Titanium Euro6.2,2809
RENAULT,Trafic,L2H1 3T 2.0 Blue dCi 130ch Essentiel,2810
DS,Ds 3 Crossback,PureTech 130ch Bastille Automatique,2811
MINI,Mini,Cooper SE 184ch Edition Premium BVA 5CV,2812
DACIA,Sandero,1.0 TCe 90ch Stepway CONFORT 22,2813
JAGUAR,F-Pace,P400e Plug-in-Hybrid SE BVA8 AWD,2814
OPEL,Grandland,Hybrid4 300ch Ultimate,2815
FORD,Mustang Mach-E,Extended Range 99kWh 351ch AWD 9cv,2816
RENAULT,Master,F3500 L2H2 2.3 Blue dCi 145ch Grand Confort EuroVI,2817
BMW,X4 M,3.0i 510ch Competition (Malus payé),2818
DACIA,Lodgy,1.3 TCe 130ch FAP Stepway 7 places,2819
RENAULT,Scenic,1.6 dCi 130ch energy Zen,2820
AUDI,Sq5,3.0 TDI 347ch quattro tiptronic,2821
FIAT,Ducato,3.5 MH2 H3-Power 140ch,2822
SKODA,Octavia Combi,2.0 TDI 150ch Business 4x4 DSG7 Euro6d-AP,2823
BMW,M4 Coupe,3.0 510ch Competition xDrive,2824
HONDA,Cr-V,2.0 i-MMD 184ch Elegance 4WD AT,2825
ALFA ROMEO,Giulia,2.2 Diesel 160ch Sprint AT8,2826
OPEL,Mokka,1.6 CDTI 110ch Edition ecoFLEX Start&Stop 4x2,2827
CITROEN,C4,1.2 PureTech 130ch S&S MAX,2828
CITROEN,C4 Cactus,PureTech 110ch S&S Origins E6.d,2829
NISSAN,Leaf,109ch 30kWh Black Edition MY17,2830
RENAULT,Clio,1.5 dCi 90ch energy Limited 5p Euro6c,2831
RENAULT,Megane,E-Tech Electric EV60 130ch Evolution ER optimum charge -C (BONUS ECOLOGIQUE DEDUIT),2832
AUDI,Q7,60 TFSI e 456ch Competition quattro Tiptronic 5 places 22cv,2833
VOLVO,Xc40,B4 197ch Inscription Luxe Geartronic 8,2834
AUDI,A3 Sportback,35 TFSI 150ch S line S tronic 7,2835
SKODA,Kamiq,1.5 TSI 150ch Monte-Carlo DSG7 Euro6d-AP,2836
PEUGEOT,308,1.2 PureTech 110ch E6.c S&S Active,2837
AUDI,Q3,35 TFSI 150ch S line S tronic 7,2838
DACIA,Duster,1.5 Blue dCi 115ch Prestige 4x4 - 19,2839
RENAULT,Kangoo Van,1.5 Blue dCi 95ch Grand Confort Sésame Ouvre Toi,2840
CITROEN,Ds 4,1.6 VTi 120ch Chic,2841
NISSAN,Qashqai,1.3 Mild Hybrid 140ch Tekna +Jantes 19'' + Pack Design + Roue de secours,2842
BMW,Serie 1,118i 136ch Business 5p,2843
RENAULT,Clio,1.3 TCe 140ch Intens -21,2844
PEUGEOT,508 Sw,BlueHDi 130ch S&S Allure EAT8 7cv,2845
MERCEDES,Classe A,200 163ch AMG Line 7G-DCT 9cv,2846
PEUGEOT,308 Sw,1.2 PureTech 110ch S&S Style,2847
PEUGEOT,Rifter,1.5 BlueHDi 100ch S&S Standard Style,2848
PORSCHE,911 Targa,3.0 450ch 4 GTS PDK,2849
PORSCHE,Macan,2.0 252ch PDK,2850
DS,Ds 4,E-TENSE 225ch Rivoli,2851
RENAULT,Kangoo,1.5 dCi 75ch energy Zen FT Euro6,2852
NISSAN,Qashqai,1.3 DIG-T 140ch N-Connecta 2019,2853
AUDI,Q8 E-Tron Sportback,55 408ch S Line quattro,2854
NISSAN,Ariya,87kWh 306ch e-4ORCE Evolve,2855
FIAT,500,1.2 69ch Lounge,2856
OPEL,Corsa,Corsa-e 136ch Elegance,2857
NISSAN,Juke,1.0 DIG-T 114ch N-Connecta 2021,2858
TOYOTA,Proace Combi,Medium 1.5 120 D-4D Dynamic RC22,2859
PEUGEOT,3008,Plug-in HYBRID 180ch Allure Pack e-EAT8,2860
PORSCHE,Macan,3.6 V6 400ch Turbo PDK,2861
RENAULT,Megane,1.2 TCe 100ch energy Zen,2862
MINI,Cabrio,Cabriolet f57 lci Cooper 136ch,2863
PEUGEOT,3008,1.2 PureTech 130ch S&S Crossway,2864
CITROEN,C4 Cactus,BlueHDi 100ch S&S Feel Business E6.d,2865
NISSAN,Qashqai,1.3 Mild Hybrid 158ch Business Edition Xtronic 2022,2866
FORD,Fiesta,1.5 TDCi 75ch Stop&Start Titanium 5p,2867
PEUGEOT,Rifter,PureTech 110ch S&S Standard Allure 119g,2868
RENAULT,Kadjar,1.3 TCe 140ch FAP Business 130g,2869
PEUGEOT,308 Sw,1.2 PureTech 110ch E6.3 S&S Style 6cv,2870
MERCEDES,Classe B,180 136ch Progressive Line Edition 7cv,2871
MINI,Countryman,Cooper SE 136ch + 88ch ALL4 BVA,2872
LEXUS,Rx,450h 4WD F SPORT Euro6d-T 15cv,2873
